,ID,Woonplaatsen,Woonplaatscode_1,Woonplaats,Code_3,Provincie,Code_5,Deel,Code_7,Latitude,Longtitude,Population
117,117,WP2691,WP2691    ,Steenwijkerland                    ,GM1708    ,Overijssel               ,PV23      ,Oost-Nederland           ,LD02      ,No info,No info,No info
118,118,WP1092,WP1092    ,Baarn                              ,GM0308    ,Utrecht                  ,PV26      ,West-Nederland           ,LD03      ,No info,No info,No info
119,119,WP2692,WP2692    ,Steenwijkerland                    ,GM1708    ,Overijssel               ,PV23      ,Oost-Nederland           ,LD02      ,52.7833,6.1167,No info
120,120,WP1298,WP1298    ,Zevenaar                           ,GM0299    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,No info,No info,No info
121,121,WP1951,WP1951    ,Altena                             ,GM1959    ,Noord-Brabant            ,PV30      ,Zuid-Nederland           ,LD04      ,No info,No info,No info
122,122,WP1420,WP1420    ,Oldambt                            ,GM1895    ,Groningen                ,PV20      ,Noord-Nederland          ,LD01      ,No info,No info,No info
123,123,WP1617,WP1617    ,Haarlemmermeer                     ,GM0394    ,Noord-Holland            ,PV27      ,West-Nederland           ,LD03      ,No info,No info,No info
124,124,WP2940,WP2940    ,Leudal                             ,GM1640    ,Limburg                  ,PV31      ,Zuid-Nederland           ,LD04      ,51.233333333,5.866666666,35681
125,125,WP2465,WP2465    ,Het Hogeland                       ,GM1966    ,Groningen                ,PV20      ,Noord-Nederland          ,LD01      ,No info,No info,No info
126,126,WP2090,WP2090    ,Gemert-Bakel                       ,GM1652    ,Noord-Brabant            ,PV30      ,Zuid-Nederland           ,LD04      ,No info,No info,No info
127,127,WP1673,WP1673    ,De Fryske Marren                   ,GM1940    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,52.925,5.683333333,No info
128,128,WP3342,WP3342    ,Opsterland                         ,GM0086    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,No info,No info,No info
129,129,WP2570,WP2570    ,Wijchen                            ,GM0296    ,Gelderland               ,PV25      ,Oost-Nederland           ,LD02      ,No info,No info,No info
130,130,WP3005,WP3005    ,Midden-Drenthe                     ,GM1731    ,Drenthe                  ,PV22      ,Noord-Nederland          ,LD01      ,52.85,6.5,No info
131,131,WP1674,WP1674    ,De Fryske Marren                   ,GM1940    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,No info,No info,No info
132,132,WP1540,WP1540    ,Hardenberg                         ,GM0160    ,Overijssel               ,PV23      ,Oost-Nederland           ,LD02      ,No info,No info,No info
133,133,WP1153,WP1153    ,Aa en Hunze                        ,GM1680    ,Drenthe                  ,PV22      ,Noord-Nederland          ,LD01      ,No info,No info,No info
134,134,WP1152,WP1152    ,Aa en Hunze                        ,GM1680    ,Drenthe                  ,PV22      ,Noord-Nederland          ,LD01      ,No info,No info,No info
135,135,WP2587,WP2587    ,Ameland                            ,GM0060    ,Friesland                ,PV21      ,Noord-Nederland          ,LD01      ,53.4503,5.7536,No info
136,136,WP3067,WP3067    ,Simpelveld                         ,GM0965    ,Limburg                  ,PV31      ,Zuid-Nederland           ,LD04      ,No info,No info,No info
137,137,WP1690,WP1690    ,Eijsden-Margraten                  ,GM1903    ,Limburg                  ,PV31      ,Zuid-Nederland           ,LD04      ,50.791667,5.756111,No info
